,Number,Name,Position,Age,Height,Weight,Experience,College
0,4,Dak Prescott,QB,24,6-2,238,3,Mississippi State
1,7,Cooper Rush,QB,24,6-3,225,2,Central Michigan
2,21,Ezekiel Elliott,RB,22,6-0,228,3,Ohio State
3,46,Alfred Morris,RB,29,5-10,222,7,Florida Atlantic
4,45,Rod Smith,RB,26,6-3,235,4,Ohio State
5,34,Trey Williams,RB,25,5-7,200,1,Texas A&M
6,41,Keith Smith,FB,25,6-0,240,5,San Jose State
7,11,Cole Beasley,WR,28,5-8,180,7,SMU
8,18,Brian Brown,WR,23,6-1,208,1,Richmond
9,85,Noah Brown,WR,22,6-2,225,2,Ohio State
10,88,Dez Bryant,WR,29,6-2,220,9,Oklahoma State
11,19,Brice Butler,WR,28,6-3,220,6,San Diego State
12,81,KD Cannon,WR,22,6-0,180,1,Baylor
13,14,Lance Lenoir,WR,23,5-11,210,1,Western Illinois
14,10,Ryan Switzer,WR,23,5-8,185,2,North Carolina
15,83,Terrance Williams,WR,28,6-2,210,6,Baylor
16,80,Rico Gathers,TE,24,6-6,285,2,Baylor
17,84,James Hanna,TE,28,6-4,260,7,Oklahoma
18,89,Blake Jarwin,TE,23,6-5,260,2,Oklahoma State
19,87,Geoff Swaim,TE,24,6-4,260,4,Texas
20,82,Jason Witten,TE,35,6-6,263,16,Tennessee
21,72,Travis Frederick,C,26,6-4,320,6,Wisconsin
22,64,Jonathan Cooper,G,28,6-2,308,6,North Carolina
23,73,Joe Looney,G,27,6-3,315,6,Wake Forest
24,70,Zack Martin,G,27,6-4,315,5,Notre Dame
25,75,Byron Bell,OT,29,6-5,320,8,New Mexico
26,71,La'el Collins,OT,24,6-4,320,4,LSU
27,78,Kadeem Edwards,OT,27,6-4,315,2,Tennessee State
28,79,Chaz Green,OT,25,6-5,318,4,Florida
29,77,Tyron Smith,OT,27,6-5,320,8,USC
32,97,Taco Charlton,DE,23,6-5,270,2,Michigan
33,98,Tyrone Crawford,DE,28,6-4,290,7,Boise State
34,94,Randy Gregory,DE,25,6-5,255,2,Nebraska
35,58,Datone Jones,DE,27,6-5,288,6,UCLA
36,90,DeMarcus Lawrence,DE,25,6-3,265,5,Boise State
37,93,Benson Mayowa,DE,26,6-3,265,6,Idaho
38,66,Lewis Neal,DE,22,6-0,280,2,LSU
39,99,Charles Tapper,DE,24,6-2,270,3,Oklahoma
40,76,Richard Ash,DT,25,6-3,320,2,Western Michigan
41,96,Maliek Collins,DT,22,6-2,308,3,Nebraska
42,95,David Irving,DT,24,6-7,290,4,Iowa State
43,62,Jarron Jones,DT,23,6-6,320,1,Notre Dame
44,55,Stephen Paea,DT,29,6-1,295,8,Oregon State
45,92,Brian Price,DT,23,6-3,318,2,UT San Antonio
46,68,Daniel Ross,DT,24,6-4,310,2,null
47,74,Joe Vellano,DT,29,6-2,300,4,Maryland
48,59,Anthony Hitchens,LB,25,6-0,235,5,Iowa
49,52,Tre'Von Johnson,LB,23,6-1,235,1,Weber State
50,50,Sean Lee,LB,31,6-2,245,9,Penn State
51,53,Justin March-Lillard,LB,24,6-0,222,4,Akron
52,54,Jaylon Smith,LB,22,6-2,245,2,Notre Dame
53,51,Kyle Wilber,LB,28,6-4,245,7,Wake Forest
54,57,Damien Wilson,LB,24,6-1,245,4,Minnesota
55,33,Chidobe Awuzie,CB,22,5-11,202,2,Colorado
56,23,Bene Benwikere,CB,26,6-0,195,5,San Jose State
57,30,Anthony Brown,CB,24,5-11,196,3,Purdue
58,27,Jourdan Lewis,CB,22,5-10,195,2,Michigan
59,32,Orlando Scandrick,CB,31,5-10,196,11,Boise State
60,26,Duke Thomas,CB,23,5-10,192,2,Texas
